Date,Close/Last,Volume,Open,High,Low
11/30/2020,39.505,92311040,39.43,39.695,37.645
11/27/2020,39.3025,46463760,39.01,39.7675,38.8825
11/25/2020,38.2575,64338840,37.93,38.5025,37.6125
11/24/2020,37.55,78007560,36.455,37.7575,35.7675
11/23/2020,36.075,89530400,36.455,36.935,35.19
11/20/2020,36.0675,64996720,36.7625,37.0675,36.03
11/19/2020,36.815,79670880,35.7275,36.9225,35.49
11/18/2020,35.925,77170640,36.565,37.1875,35.925
11/17/2020,36.7775,91351800,37.2,37.34,36.5325
11/16/2020,37.12,106874520,36.1875,37.2525,35.936
11/13/2020,36.285,104897240,35.945,36.52,35.165
11/12/2020,35.3575,143857120,36.2125,36.73,34.93
11/11/2020,35.8825,126830760,34.5175,36.0475,34.37
11/10/2020,33.6225,168666640,34.285,34.8125,32.5875
11/09/2020,35.54,165865520,38.92,39.595,35.37
11/06/2020,37.85,135151280,37.4675,38.1425,36.015
11/05/2020,37.7225,150132560,37.415,38.1375,36.8975
11/04/2020,35.02,169187720,33.8975,35.66,33.33
11/03/2020,30.85,134969320,29.995,31.6023,29.65
11/02/2020,29.3725,151135920,29.9475,30.5225,28.4025
10/30/2020,29.3625,231165760,30.8875,31.1825,28.3875
10/29/2020,31.5575,138187360,30.485,32.615,30.31
10/28/2020,30.03,184720160,32.355,32.56,29.9501
10/27/2020,34.0225,111930000,33.5675,34.3,33.13
10/26/2020,33.2375,158556600,33.9425,34.995,31.8725
10/23/2020,34.825,95543880,34.8525,34.8575,33.7225
10/22/2020,34.6225,119581600,34.925,35.2509,33.3675
10/21/2020,34.605,121286280,34.7725,35.7525,34.43
10/20/2020,34.695,137355080,34.745,35.85,34.1469
10/19/2020,34.4725,138777480,37.01,37.3775,34.09
10/16/2020,36.275,114048560,37.5175,38.0673,36.125
10/15/2020,36.84,124538280,35.755,37.0975,35.485
10/14/2020,37.6175,148985480,38.915,39.3,36.9125
10/13/2020,38.57,141930800,39.3,39.5825,38.0375
10/12/2020,38.565,147058600,37.1,39.6825,36.715
10/09/2020,35.275,97635760,34.385,35.3462,34.24
10/08/2020,33.7725,98946840,34.1125,34.1517,33.385
10/07/2020,33.2825,112544480,32.5425,33.5275,32.345
10/06/2020,31.62,172824560,33.0975,33.78,31.2875
10/05/2020,33.415,105395360,32.1175,33.525,32.0625
10/02/2020,31.4325,199776680,32.03,33.4075,31.0825
10/01/2020,34.2575,139338000,34.1425,34.5175,33.445
09/30/2020,32.725,169384160,32.1475,33.88,32.0625
09/29/2020,32.09,111388680,32.37,32.7097,31.8825
09/28/2020,32.43,136665600,32.3225,32.5,31.3925
09/25/2020,30.615,162239400,28.7675,30.89,28.2625
09/24/2020,28.61,187518160,27.4225,29.6775,27.2925
09/23/2020,28.1975,202753720,30.9625,31.0375,27.9275
09/22/2020,31.075,157533360,30.3,31.2825,29.115
09/21/2020,29.465,187657400,27.8075,29.4875,27.025
09/18/2020,29.12,231521320,30.715,30.8624,27.6905
09/17/2020,30.29,223422560,29.3025,30.99,29.0125
09/16/2020,31.7525,153586640,33.6325,33.83,31.6475
09/15/2020,33.355,150444720,33.3325,33.8551,32.74
09/14/2020,31.995,134516600,31.75,32.7025,31.27
09/11/2020,30.4275,192898920,31.75,32.0475,29.2025
09/10/2020,31.1075,232968240,34.13,34.5975,30.435
09/09/2020,33.0175,145176160,32.2575,33.8,31.4175
09/08/2020,30.405,213412240,31.2375,33.4925,30.265
09/04/2020,35.41,280740440,36.345,37.575,30.965
09/03/2020,36.9325,221512480,41.6825,41.85,35.705
09/02/2020,43.6325,144684880,43.87,43.9175,41.1684
09/01/2020,42.435,96920080,41.48,42.4925,40.7375
08/31/2020,40.34,90199040,39.635,41.135,39.455
08/28/2020,39.4275,99072680,39.3225,39.6825,38.7875
08/27/2020,38.8275,151301000,39.645,39.9675,37.895
08/26/2020,39.1825,109831680,37.3175,39.2625,37.27
08/25/2020,36.825,86278520,35.7075,36.8625,35.5175
08/24/2020,35.985,125691840,36.5525,36.8897,35.11
08/21/2020,35.33,82140120,34.665,35.5025,34.4487
08/20/2020,34.6075,76387360,32.9375,34.7975,32.7925
08/19/2020,33.24,102923600,33.897,34.3025,33.0725
08/18/2020,33.9025,74656680,33.3575,34.1,32.8225
08/17/2020,32.935,63332320,32.4675,33.09,32.415
08/14/2020,31.8825,99868800,32.165,32.2975,31.3525
08/13/2020,31.975,117140720,32.02,32.795,31.6325
08/12/2020,31.7525,110922120,30.275,32.09,30.275
08/11/2020,29.5425,155136600,30.89,31.3625,29.3475
08/10/2020,31.32,127155520,31.8175,31.9025,30.042
08/07/2020,31.7475,148353960,32.655,32.955,30.9225
08/06/2020,32.82,96032000,31.5275,32.9825,31.305
08/05/2020,31.61,81481600,31.5375,31.7675,31.2275
08/04/2020,31.36,105503920,30.83,31.405,30.585
08/03/2020,30.9575,108934000,30.5625,31.2825,30.515
07/31/2020,29.845,180002400,29.83,29.875,28.2201
07/30/2020,28.3175,151100080,27.225,28.4925,26.84
07/29/2020,27.865,97140280,27.4225,28.1525,27.2875
07/28/2020,26.9475,119351280,27.77,27.9275,26.8425
07/27/2020,28,133811840,27.1475,28.1375,26.87
07/24/2020,26.5725,178609320,26.1275,27.04,25.2525
07/23/2020,27.3825,168324280,29.5775,29.81,26.8925
07/22/2020,29.71,113894520,29.5425,30.0325,28.9125
07/21/2020,29.37,147840520,30.8975,30.9175,29.1
07/20/2020,30.34,125810720,28.2,30.5575,27.7725
07/17/2020,27.96,115501720,28.04,28.26,27.25
07/16/2020,27.83,149985800,27.51,28.09,26.7475
07/15/2020,28.44,183771800,28.715,29.055,27.3475
07/14/2020,28.3,229875400,26.8975,28.43,25.8475
07/13/2020,27.7125,187292200,30.5125,31.4875,27.4225
07/10/2020,29.5375,121394680,28.855,29.6125,27.9725
07/09/2020,28.925,158798200,28.8525,29.1675,27.465
07/08/2020,28.22,119965680,27.6075,28.235,27.1225
07/07/2020,27.175,123049560,27.6375,28.54,27.06
07/06/2020,27.72,105991840,26.825,27.895,26.8225
07/02/2020,25.8225,114076080,26.0725,26.4675,25.685
07/01/2020,25.285,126068880,24.465,25.6175,24.31
06/30/2020,24.4125,125694360,23.08,24.62,23.0325
06/29/2020,23.085,129804640,22.3025,23.1075,21.57
06/26/2020,22.37,187970560,24.005,24.075,22.225
06/25/2020,24.1025,150851640,23.4775,24.18,22.685
06/24/2020,23.48,196410680,24.725,25.1175,22.9625
06/23/2020,24.95,117449160,24.8425,25.655,24.665
06/22/2020,24.315,110066600,23.4775,24.3875,23.3775
06/19/2020,23.48,144975000,24.2425,24.3075,22.99
06/18/2020,23.5125,106392960,23.235,23.59,23.01
06/17/2020,23.3325,129429080,23.5425,23.865,23.1
06/16/2020,23.1075,191608880,23.3475,23.53,22.0775
06/15/2020,21.9475,199092440,20.27,22.17,20.015
06/12/2020,21.2,205938560,22.0724,22.4116,20.1075
06/11/2020,20.75,191666000,23.145,23.5525,20.705
06/10/2020,24.3325,151455520,23.99,24.805,23.845
06/09/2020,23.485,106589760,22.7225,23.745,22.6848
06/08/2020,22.9725,109272240,22.3975,23.02,21.9753
06/05/2020,22.4725,140697160,21.475,22.6327,21.375
06/04/2020,21.215,133204200,21.5575,21.97,20.8393
06/03/2020,21.655,107516720,21.5375,21.8725,21.3025
06/02/2020,21.365,125357080,21.06,21.3875,20.41
06/01/2020,20.9475,105581160,20.5138,21.06,20.4075
05/29/2020,20.6925,179473640,20.01,20.83,19.58
05/28/2020,19.8725,152612560,19.65,20.8015,19.6375
05/27/2020,20,173645480,19.5275,20.01,18.345
05/26/2020,19.7225,122601120,20.7625,20.83,19.595
05/22/2020,19.805,104832480,19.5225,19.8725,19.2625
05/21/2020,19.6275,161346760,20.31,20.48,19.4825
05/20/2020,20.25,142707960,19.8025,20.3775,19.8025
05/19/2020,19.13,130715280,19.345,19.8925,19.1
05/18/2020,19.2775,148815080,19,19.55,18.805
05/15/2020,18.2225,178903360,17.1775,18.275,17.0725
05/14/2020,17.915,201499600,17.01,17.9225,16.5275
05/13/2020,17.34,245559600,18.1475,18.6125,16.69
05/12/2020,18.0225,169681640,19.3675,19.5325,18.0075
05/11/2020,19.1625,134691880,18.3675,19.475,18.3125
05/08/2020,18.6975,131418440,18.3875,18.7375,18.13
05/07/2020,17.9725,144744960,17.9575,18.1875,17.6412
05/06/2020,17.2975,155940440,17.385,17.7813,17.0975
05/05/2020,16.9625,144357320,16.9325,17.5562,16.8025
05/04/2020,16.4375,100377800,15.6337,16.4825,15.5175
05/01/2020,15.8775,173122720,16.33,16.8275,15.625
04/30/2020,17.4425,190272520,17.6025,17.6172,16.9876
04/29/2020,17.3275,173051880,16.7625,17.5925,16.5225
04/28/2020,15.695,193123640,17.055,17.0575,15.6525
04/27/2020,16.5925,152360880,16.795,16.8975,16.41
04/24/2020,16.275,159183560,15.635,16.35,15.3025
04/23/2020,15.525,212433920,15.8075,16.3975,15.43
04/22/2020,15.6275,137946000,15.2575,15.915,15.0775
04/21/2020,14.3575,259744960,15.665,15.7825,14.0775
04/20/2020,16.1425,193498760,16.2975,16.8775,16.115
04/17/2020,16.6825,231782240,16.9175,17.025,16.0075
04/16/2020,16.275,281460080,15.9525,16.5175,15.4875
04/15/2020,15.4475,215843840,15.2275,15.8475,14.9152
04/14/2020,15.9775,245024840,15.0125,16.1,14.8475
04/13/2020,14.1425,213480160,13.5,14.22,13.2685
04/09/2020,13.6675,276648880,13.9825,14.18,13.3175
04/08/2020,13.6175,259090080,13.1713,13.75,12.82
04/07/2020,12.8,329004800,13.975,14.0725,12.75
04/06/2020,12.825,259308600,11.7775,13.0475,11.591
04/03/2020,10.605,277242000,10.965,11.2455,10.215
04/02/2020,11.05,233765480,10.3,11.085,10.1925
04/01/2020,10.4325,267794960,10.9,11.43,10.155
03/31/2020,11.91,365951960,12.1525,12.8825,11.7146
03/30/2020,12.25,208310640,11.395,12.345,11.25
03/27/2020,11.085,278571760,11.4075,12.0825,10.9473
03/26/2020,12.37,324619960,10.9575,12.5,10.9168
03/25/2020,10.6375,417437200,11.05,11.9588,10.27
03/24/2020,10.89,414912000,10.3075,10.935,10.0325
03/23/2020,8.905,410036800,8.9825,9.5,8.0675
03/20/2020,8.8775,391127600,10.7475,10.95,8.775
03/19/2020,10.055,402404400,9.7125,11.02,9
03/18/2020,9.8275,424499600,9.075,10.375,8.1825
03/17/2020,10.83,381010320,9.845,11.285,8.9375
03/16/2020,9.3125,329145080,10.115,12.15,9.2475
03/13/2020,14.21,278145360,13.06,14.3281,11.265
03/12/2020,11.19,309112960,12.375,14.375,11.1
03/11/2020,15.415,217420200,16.445,16.8075,14.75
03/10/2020,17.69,228126240,16.995,17.7325,15.25
03/09/2020,15.3075,203482480,15.3825,17.2875,15.25
03/06/2020,19.21,196759520,18.1825,19.52,17.75
03/05/2020,20.2725,193485800,20.56,21.69,19.7725
03/04/2020,22.2225,157913760,20.885,22.2875,20.325
03/03/2020,19.8175,274063200,22.0925,22.875,19.22
03/02/2020,21.8775,181759320,19.8175,21.935,18.9925
02/28/2020,19.25,247674080,17.1025,19.3575,16.875
02/27/2020,18.955,212558200,20.575,21.6025,18.895
02/26/2020,22.2875,170269200,22.32,23.4325,21.7875
02/25/2020,21.985,150396720,24.4825,24.7275,21.735
02/24/2020,23.92,134837040,24.07,24.895,23.4075
02/21/2020,27.035,103706240,28.265,28.395,26.6825
02/20/2020,28.675,113828880,29.325,29.495,27.5975
02/19/2020,29.515,52813600,29.2025,29.7,29.0987
02/18/2020,28.685,65567760,28.23,28.8579,28.1475
02/14/2020,28.635,56984880,28.555,28.7475,28.27
02/13/2020,28.4425,77641160,27.9475,28.775,27.845
02/12/2020,28.5525,60803880,28.2225,28.5875,28.025
02/11/2020,27.74,96885120,28.175,28.4675,27.52
02/10/2020,27.72,61624520,26.495,27.7275,26.475
02/07/2020,26.755,77025920,26.745,27.2025,26.53
02/06/2020,27.105,56566560,26.6275,27.135,26.3525
02/05/2020,26.46,87305960,27.14,27.145,25.9725
02/04/2020,26.1575,70124600,25.5,26.3125,25.255
02/03/2020,24.485,87092520,23.7775,24.665,23.7325
01/31/2020,23.41,110192000,24.92,24.9375,23.1863
01/30/2020,24.62,100124680,23.9,24.65,23.6625
01/29/2020,24.345,69285560,24.6563,24.74,24.045
01/28/2020,24.2575,85931040,23.6625,24.4175,23.495
01/27/2020,23.18,99313080,23.0625,23.5863,22.545
01/24/2020,24.7075,119687240,25.725,25.8025,24.3775
